0,1,2,3,4,5,6,7,8,9,SourceFile,TableIndex,10,11,12
1,ANCIPA,ENEL,"30.410.000,00","950,00","30.410.000,00",n.d.,"942,86","19.967.459,99","17.967.459,99",2025-08-12-Volume%20Giornaliero%20Potabile.pdf,0,,"- 1,0%","-298.630,21"
1,ANCIPA,ENEL,"30.410.000,00","950,00","30.410.000,00",n.d.,"947,92","25.382.420,19","23.382.420,19",2025-04-21-Volume%20Giornaliero%20Potabile.pdf,0,,"- 0,8%",
1,ANCIPA,ENEL,"30.410.000,00","950,00","30.410.000,00",n.d.,"948,03","25.500.195,43","23.500.195,43",2025-05-25-Volume%20Giornaliero%20Potabile.pdf,0,,"+ 0,0%","0,00"
1,ANCIPA,ENEL,"30.410.000,00","950,00","30.410.000,00",n.d.,"947,75","25.200.403,91","23.200.403,91",2025-04-26-Volume%20Giornaliero%20Potabile.pdf,0,,"- 0,1%",
1,ANCIPA,ENEL,"30.410.000,00","950,00","30.410.000,00",n.d.,"946,26","23.605.084,75","21.605.084,75",2025-07-12-Volume%20Giornaliero%20Potabile.pdf,0,,"- 0,2%","-53.534,20"
1,ANCIPA,ENEL,"30.410.000,00","950,00","30.410.000,00",n.d.,"948,19","25.671.504,87","23.671.504,87",2025-03-14-Volume%20Giornaliero%20potabile.pdf,0,,"+ 0,0%",
1,ANCIPA,ENEL,"30.410.000,00","950,00","30.410.000,00",n.d.,"947,38","24.804.250,83","22.804.250,83",2025-06-29-Volume%20Giornaliero%20Potabile.pdf,0,(*),"+ 0,0%","0,00"
1,ANCIPA,ENEL,"30.410.000,00","950,00","30.410.000,00",n.d.,"948,23","25.714.332,23","23.714.332,23",2025-03-17-Volume%20Giornaliero%20potabile.pdf,0,,"+ 0,2%",
1,ANCIPA,ENEL,"30.410.000,00","950,00","30.410.000,00",n.d.,"948,26","25.746.452,75","23.746.452,75",2025-03-20-Volume%20Giornaliero%20potabile.pdf,0,,"+ 0,1%",
1,ANCIPA,ENEL,"939,00","30.410.000,00","939,70","16.672.332,50","14.672.332,50",(*),,2025-01-21-Volume%20Giornaliero%20potabile.pdf,0,,,
1,ANCIPA,ENEL,"30.410.000,00","950,00","30.410.000,00",n.d.,"947,63","25.071.921,83","23.071.921,83",2025-05-7-Volume%20Giornaliero%20Potabile.pdf,0,,"- 0,1%",
1,ANCIPA,ENEL,"30.410.000,00","950,00","30.410.000,00",n.d.,"948,88","26.410.276,83","24.410.276,83",2025-04-11-Volume%20Giornaliero%20Potabile.pdf,0,,"- 0,3%",
1,ANCIPA,ENEL,"30.410.000,00","950,00","30.410.000,00",n.d.,"948,54","26.046.244,27","24.046.244,27",2025-03-07-Volume%20Giornaliero%20potabile%20%281%29.pdf,0,,"- 0,4%",
1,ANCIPA,ENEL,"30.410.000,00","950,00","30.410.000,00",n.d.,"948,05","25.521.609,11","23.521.609,11",2025-05-20-Volume%20Giornaliero%20Potabile.pdf,0,,"+ 0,1%","21.413,68"
1,ANCIPA,ENEL,"939,00","30.410.000,00","939,70","16.672.332,50","14.672.332,50",,,2025-01-20-Volume%20Giornaliero%20potabile.pdf,0,,,
1,ANCIPA,ENEL,"30.410.000,00","950,00","30.410.000,00",n.d.,"945,02","22.277.436,59","20.277.436,59",2025-08-3-Volume%20Giornaliero%20Potabile.pdf,0,,"- 0,3%","-96.361,56"
1,ANCIPA,ENEL,"30.410.000,00","950,00","30.410.000,00",n.d.,"940,90","17.900.503,78","15.900.503,78",2025-08-22-Volume%20Giornaliero%20Potabile.pdf,0,,"- 0,2%","-62.357,45"
1,ANCIPA,ENEL,"30.410.000,00","950,00","30.410.000,00",n.d.,"943,41","20.554.432,70","18.554.432,70",2025-08-10-Volume%20Giornaliero%20Potabile.pdf,0,,"- 0,9%","-277.955,09"
